commit_sha,filename,maintainability_index,complexity,num_lines,num_functions,num_classes,avg_function_length,avg_num_parameters,nesting_levels,num_comments,duplicated_code_warnings,num_imports,cyclic_dependencies,is_bug,bug_type
9017b95ff2dcff16bcb0b0a609ed2b0daa845943,Lib/test/test_posix.py,0.0,329.0,2406.0,165.0,8.0,"5,35152E+15","1,09091E+16",9.0,159.0,0.0,22.0,0.0,0,NameError
aea9faa146f5ce8bfaf038dfa2f4377e0543c569,django/db/migrations/writer.py,"4,26958E+16",72.0,290.0,14.0,3.0,"4,42857E+15","1,78571E+16",11.0,21.0,0.0,17.0,0.0,0,NameError
9fbb8608e6039d9ff554a97bad95bf005b14872a,pandas/core/groupby/ops.py,"1,22647E+16",231.0,1383.0,64.0,6.0,628125,2015625,7.0,111.0,0.0,15.0,0.0,1,NameError
9d740eb8b15de31f1c5520659df683d90342bb44,tests/test_client/views.py,"4,29332E+15",48.0,262.0,23.0,3.0,"4,30435E+15","1,08696E+16",8.0,1.0,0.0,11.0,0.0,0,NameError
99e3afe8a7bab9cd2d53322909627e5797907be2,pandas/core/reshape/merge.py,0.0,480.0,2760.0,50.0,3.0,8.02,3.92,14.0,191.0,0.0,21.0,0.0,0,NameError
0142a2292c3d3bfa56a987d576a9678be0f56931,Lib/test/test_buffer.py,0.0,630.0,4800.0,188.0,30.0,"1,0266E+15","1,56915E+16",39.0,450.0,0.0,16.0,0.0,0,NameError
932726fe9d8a24063436400ff758edee323d8e5c,sklearn/tests/test_common.py,"4,99216E+15",76.0,394.0,16.0,0.0,36875,0.0,13.0,86.0,0.0,19.0,0.0,1,NameError
c948319b0ab31a45a365ac4ac22ce9d311c8306a,sklearn/manifold/tests/test_locally_linear.py,"6,10658E+15",12.0,146.0,7.0,0.0,"7,28571E+15",0.0,9.0,16.0,0.0,12.0,0.0,1,NameError
f6d6929f32e3eb7206719c4abde8addddd8a8f08,sklearn/inspection/_plot/partial_dependence.py,"3,01679E+16",149.0,1476.0,8.0,1.0,12125,6375,34.0,50.0,0.0,20.0,0.0,0,NameError
5848305218a08eb0c0a32086813d14dc6f46b463,tests/generic_views/test_dates.py,"2,97565E+15",87.0,741.0,69.0,7.0,"6,86957E+15","1,02899E+16",4.0,48.0,0.0,7.0,0.0,0,NameError
7b94847e384b1a8c05a7d4c8778958c0290bdf9a,tests/generic_relations/tests.py,"4,44985E+15",68.0,742.0,57.0,3.0,"6,40351E+16","1,01754E+16",3.0,39.0,0.0,4.0,0.0,1,NameError
8db5f480072421bb065d346c3bbc5e88fc368587,Doc/tools/extensions/pyspecific.py,"3,12045E+16",141.0,698.0,36.0,18.0,"6,19444E+15","2,05556E+16",14.0,48.0,0.0,23.0,0.0,0,NameError
e771f4e13dfec88e708b192e62898392d2bf8b1f,scikits/learn/preprocessing/tests/test_preprocessing.py,"5,40626E+15",19.0,125.0,5.0,0.0,6.6,0.2,19.0,4.0,0.0,7.0,0.0,1,NameError
c2cc80756b8949cdd87b88bbfdfee698ced441e0,tests/queries/test_qs_combinators.py,"2,56046E+16",72.0,604.0,56.0,1.0,"5,94643E+15","1,05357E+16",4.0,8.0,0.0,6.0,0.0,1,NameError
4212444ba615d9fb16791a88fb5d8d3f162b1446,sklearn/neural_networks/rbm.py,"4,09481E+15",22.0,340.0,14.0,1.0,5.5,"2,42857E+16",6.0,2.0,0.0,6.0,0.0,1,NameError
9cbf7f25efa6ba3c4419b46fa11977e8b967aa26,tests/migrations/test_loader.py,"6,77792E+15",38.0,149.0,8.0,2.0,6875,1.0,0.0,8.0,0.0,6.0,0.0,0,NameError
bc7e52ad7379fd8138418619a1cb0aeef07896a9,examples/datasets/plot_digits_last_image.py,"6,94E+15",0.0,31.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0,NameError
1eaf0742d877fd9d84d6ed82a04bc33b027e9ad0,Lib/warnings.py,,,,,,,,,,,,,1,NameError
728548e483a5a3486939b0c8e62520296587482e,tests/one_to_one/tests.py,100.0,9.0,124.0,10.0,1.0,8.1,0.7,0.0,16.0,0.0,3.0,0.0,0,NameError
ececbe77ff573707d8f25084018e66ee07f820fd,django/core/mail/message.py,"4,32709E+15",101.0,417.0,26.0,6.0,5.0,"3,15385E+16",6.0,25.0,0.0,19.0,0.0,0,NameError
dd29be75eba93bf0c3edbcade05f57639a87f750,pandas/tests/groupby/methods/test_quantile.py,"4,26267E+16",37.0,484.0,22.0,0.0,"7,95455E+15","1,13636E+16",5.0,27.0,0.0,3.0,0.0,0,NameError
9d740eb8b15de31f1c5520659df683d90342bb44,tests/template_tests/filters.py,"7,69005E+14",11.0,382.0,3.0,2.0,"3,33333E+16",0.6666666666666666,0.0,73.0,0.0,6.0,0.0,0,NameError
1471fa7c5816e6340d25e67c6f9555f142bc3aea,sklearn/preprocessing/tests/test_function_transformer.py,"4,66596E+16",44.0,539.0,33.0,0.0,"6,36364E+15",0.8484848484848485,4.0,27.0,0.0,6.0,0.0,0,NameError
a5e812d86deb62872f8d514d894a22931fc84217,pandas/_testing/_io.py,"7,42428E+15",11.0,142.0,3.0,0.0,7.0,3.0,9.0,2.0,0.0,13.0,0.0,0,NameError
d1e34031f68a3c7523a5376575c87cd0fea2425c,Lib/test/test_asyncio/test_base_events.py,"7,42418E+15",154.0,1788.0,163.0,15.0,"5,82822E+15","1,06135E+16",8.0,84.0,0.0,17.0,0.0,1,NameError
75d65dcf6a7299acb5e2fc719fea3ecbf6b7f6d4,sklearn/cluster/tests/test_k_means.py,"4,50983E+15",63.0,694.0,50.0,0.0,5.94,0.08,7.0,86.0,0.0,25.0,0.0,1,NameError
5593886ee384893c35565dfa29eaa956ccbe1186,asv_bench/benchmarks/indexing_engines.py,"5,35702E+15",36.0,176.0,10.0,3.0,3.7,3.4,7.0,7.0,0.0,3.0,0.0,0,NameError
77665e3c319a2e8887424a5872f1aac9eb844319,sklearn/tree/tree.py,"3,69614E+15",105.0,1023.0,13.0,5.0,"8,30769E+15","6,15385E+15",12.0,34.0,0.0,28.0,0.0,1,NameError
dc9cc91f76fbbaa09a3bb40d0cbb6f9a2381e269,Lib/test/test_shutil.py,0.0,373.0,3411.0,248.0,18.0,"6,99597E+15","1,19355E+16",10.0,275.0,0.0,25.0,0.0,0,NameError
82abcd9daa952d1e41de7af78b95b0cd1b916499,pandas/tests/copy_view/test_methods.py,0.0,521.0,1939.0,100.0,0.0,8.23,1.52,8.0,99.0,0.0,4.0,0.0,0,NameError
5927bd8c66f126897d97d03865e1526a0072f6f4,pandas/core/groupby/groupby.py,0.0,304.0,5676.0,103.0,3.0,"7,17476E+15","2,56311E+15",12.0,185.0,0.0,32.0,0.0,0,NameError
d985fd7a189cdbfa2093c1225bdeb7eefaeb6978,django/db/backends/schema.py,"2,60824E+16",160.0,675.0,19.0,1.0,"6,73684E+16","3,52632E+15",10.0,76.0,0.0,9.0,0.0,0,NameError
c2ccce791ccbe35bee0edea2dedabb0fc7ea5906,Lib/test/mapping_tests.py,"2,83978E+16",66.0,657.0,76.0,30.0,6.0,"1,13158E+15",10.0,37.0,0.0,2.0,0.0,1,NameError
1f934d690475cd879875ac618358654f7683272a,sklearn/ensemble/_iforest.py,"5,24369E+16",26.0,565.0,12.0,1.0,"6,08333E+15",2.0,5.0,34.0,0.0,13.0,0.0,0,NameError
fce520d45a304ee2659bb4156acf484cee5aea07,pandas/tests/io/json/test_pandas.py,0.0,248.0,2167.0,129.0,3.0,"6,65116E+15","2,05426E+15",7.0,118.0,0.0,15.0,0.0,1,NameError
